source,content,classification
Tweets,"“Black Lives Matter of Atlanta Charged with Wire Fraud, Money Laundering and Allegedly Using almost 500k in Donations For Personal Use.”",incredible
Nicole Malliotakis,"""If you are a hard-working law-abiding citizen who earns $80,000, you don’t get a stimulus check. But if you are a convicted murderer or rapist sitting in jail, you do.""",credible
Facebook posts,"Says Burisma admitted in a Ukrainian court to paying Joe Biden $900,000.",incredible
Bloggers,A CDC study found that “mask mandates made no statistical difference” on coronavirus case rates.,incredible
Duey Stroebel,"""We’ve had more voter turnout since voter ID was passed than ever before.""",incredible
Eric Greitens,"By ending the Keystone XL Pipeline project, President Joe Biden “imperiled one of Donald Trump's most significant achievements, which was that we had achieved American energy independence.”",incredible
Ron DeSantis,"""When I became governor, we banned sanctuary cities and we also did E-Verify.""",credible
Viral image,"Says Candace Owens tweeted, “Yes, my husband did cheat on me with my brother. Yes, he said no when I asked to join.”",incredible
Barbara Dittrich,"""Pot today is not the weed baby boomers were smoking.""",credible
YouTube videos,Video shows Joe Biden faked an interview in front of a green screen.,incredible
Facebook posts,The Atlanta shooting suspect wrote an anti-China post on Facebook prior to the shootings.,incredible
Mike Huckabee,“70% of Georgians said they would vote for Trump in 2024.”,incredible
Kevin McCarthy,“Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.”,incredible
Viral image,Says Meghan Markle tweeted about Oprah Winfrey following her primetime interview.,incredible
Maria Bartiromo,"The Washington Post was ""forced to correct what (Donald Trump) told the secretary of state of Georgia.”",incredible
Facebook posts,A photo shows a recent White House event was actually filmed at Tyler Perry Studios in Atlanta.,incredible
Viral image,“Actor Tom Hanks has passed away age 63.”,incredible
Facebook posts,"Says Joe Biden is “now saying he inherited ‘a mess’ at the border. Fact: 9,000 illegals all of 2020. So far in 2021 108,000 entered U.S.”",incredible
Viral image,"Says Kamala Harris said, “We will be shuttering the VA… the money saved will go to better use in assisting refugee families.”",incredible
Amy Pechacek,“We have reached our goal to clear the backlog of (unemployment) claims.”,credible
Facebook posts,"Diesel prices jumped from $1.69 to $3.19 since Biden took office, and the president is to blame.",incredible
Veronica Escobar,"""We saw the increases (of unaccompanied minors at the southern U.S. border) dating back almost a year.""",credible
Thom Tillis,Says a lack of transparency for small-dollar donations is the “same thing” as dark money,incredible
Facebook posts,"Says “Fallon (Fox), a transgender MMA fighter, has now broken 2 female opponents’ skulls,” and shows a photo of Fox alongside an MMA fighter with a severely bloodied face.",incredible
Facebook posts,“Donald J. Trump’s signature is on the new stimulus checks.”,incredible
Kevin McCarthy,"The COVID economic relief package “included $600 million for San Francisco, part of which goes to cover the tab for free alcohol and marijuana for the homeless.""",incredible
Aubrey Huff,Hank Aaron and Marvelous Marvin Hagler died “after taking the COVID-19 vaccine.”,incredible
LaKeshia Myers,"""Wisconsin is one of only nine states in the nation in which 17 year-olds are automatically treated as adults in the criminal justice system.""",credible
Nancy Pelosi,"The Republican tax bill passed in 2017 ""gave 83% of the benefits to the top 1%.""",credible
Colion Noir,"""90% of Americans do not support universal background checks.""",incredible
Facebook posts,"Vaccines send the immune system into “perpetual overdrive” by instructing cells to keep “making the protein of an invader, nonstop, forever and ever.”",incredible
Facebook posts,“Fauci admits he isn’t listening to the science when advocating policy.”,incredible
Iowa GOP state legislators,Tenured professors are guaranteed a job.,incredible
Facebook posts,"“Illegal aliens will receive $1,400 stimulus checks.”",incredible
Viral image,Says Meghan Markle was paid $7 million for giving an interview to Oprah.,incredible
Viral image,Says Rachel Levine “is telling us that Dr. Seuss books and Mr. Potato Head are bad for the children.”,incredible
Facebook posts,There are nanoparticles in the COVID-19 vaccine that will help people “locate you” via 5G networks.,incredible
Facebook posts,"Says President Joe Biden promoted ""mandatory vaccines for everybody"" in his March 11 address.",incredible
Beth Wessel-Kroeschell,"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",credible
Viral image,"“Next week has a time change, full moon and Friday the 13th.”",incredible
Facebook posts,Says El Chapo testified in court that he paid off Nancy Pelosi to keep the U.S.-Mexico border open for drug cartels.,incredible
Ashley Moody,Says the Biden administration is canceling immigration detainers and “requiring our law enforcement leaders to release” serious criminal offenders.,credible
Facebook posts,Says Oprah Winfrey for years “pimped young Hollywood girls to Harvey Weinstein to be raped.”,incredible
Facebook posts,"“Nevada AG admits to changing signature verifications manually for over 200,000 votes.”",incredible
Kayleigh McEnany,"Current immigration ""apprehension numbers are worse than the 'crisis' Biden/Obama/Pelosi acknowledged in 2014!""",credible
Bloggers,“Navy SEALs arrest Hillary Clinton.”,incredible
Greg Abbott,“The Biden Administration is recklessly releasing hundreds of illegal immigrants who have COVID into Texas communities.”,incredible
Instagram posts,"Vitamin D, vitamin C, colloidal silver and black seed oil can kill the coronavirus.",incredible
Bloggers,“Schumer and Pelosi sneak funding into COVID bill.”,incredible
Facebook posts,"The $1.9 trillion COVID-19 relief bill ""awards a $25 million bonus"" to House members.",incredible
Facebook posts,"Under HR 1, a person can still vote if they are 16, in the U.S. illegally, have no ID and have not registered to vote",incredible
Bloggers,“Biden is making ‘maternity flight suits’ so pregnant women can fight in the military.”,incredible
Gavin Newsom,"“California’s [COVID-19] death rate has remained one of the lowest per capita in the nation: 134 deaths per 100,000, compared to 158 nationally, 153 in Texas and 247 in New York.”",credible
Ted Budd,Says H.R. 1 “allows minors to vote.”,incredible
Facebook posts,Says Alexandria Ocasio-Cortez's net worth is “over $1 million.”,incredible
Roy Blunt,Says his amendment on a budget bill “would have helped get kids back in school after teachers were vaccinated. Every single Senate Democrat voted against it.”,credible
Instagram posts,A video shows a nurse pretending to vaccinate actor Anthony Hopkins before squirting fluid in the syringe on the floor.,incredible
Facebook posts,Says Joe Biden executive orders caused price increases of 50 cents in gas and 10% in food.,incredible
Viral image,“Schools banning Dr. Seuss books.”,incredible
Tom Cotton,“Senate Democrats just voted to give stimulus checks to criminals in prison.”,credible
